Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc
K8X10_001284,,glutathione-dependent formaldehyde dehydrogenase,1165,1165,1.0,2.0,539.0,2.0,515.0,,1238,1253,1238
HO281_004450,,type B 50S ribosomal protein L31,1165,1165,1.0,2.0,392.0,2.0,364.0,,260,263,260
hlyD,,secretion protein HlyD,1165,1165,1.0,3.0,381.0,3.0,98.0,,995,998,995
cpsG,,phosphomannomutase CpsG,1165,1165,1.0,8.0,230.0,8.0,343.0,,170,1370,1368
K6L68_001704,,ArgR family transcriptional regulator,1165,1165,1.0,4.0,405.0,4.0,386.0,,488,488,488
zntB,,zinc transporter ZntB,1165,1192,1.03,1.0,988.0,1.0,661.0,,983,983,983
K3989_001543,,DUF2534 family protein,1165,1186,1.02,1.0,995.0,1.0,654.0,,254,254,254
BTS16_08275,,HlyD family type I secretion periplasmic adaptor subunit,1165,1165,1.0,6.0,35.0,6.0,297.0,,1163,1163,1163
ttcA,,tRNA 2-thiocytidine(32) synthetase TtcA,1165,1196,1.03,1.0,985.0,1.0,664.0,,935,935,935
EAF62_03480,,PLP-dependent aminotransferase family protein,1165,1234,1.06,1.0,924.0,1.0,723.0,,1424,1424,1424
rfaF,,ADP-heptose--LPS heptosyltransferase RfaF,1165,1231,1.06,7.0,113.0,7.0,178.0,,1046,1046,1046
xanP,,xanthine/proton symporter XanP,1165,1256,1.08,7.0,71.0,7.0,142.0,,1391,1391,1391
phoE,,phosphoporin PhoE,1165,1325,1.14,2.0,193.0,2.0,164.0,,1052,1052,1052
G6123_004622,,DUF3313 domain-containing protein,1165,1306,1.13,1.0,933.0,1.0,714.0,,668,668,668
coaBC,,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,1165,1341,1.16,7.0,91.0,7.0,160.0,,1220,1223,1221
C3Z93_06450,,amino acid ABC transporter permease,1165,1235,1.07,1.0,965.0,1.0,684.0,,671,680,679
ldhA,,D-lactate dehydrogenase,1165,1198,1.03,1.0,976.0,1.0,673.0,,989,989,989
BZ230_03250,,PTS sugar transporter subunit IIB,1165,1360,1.17,1.0,939.0,1.0,708.0,,281,281,281
IBN52_000358,,DMT family transporter,1165,1211,1.04,1.0,916.0,1.0,731.0,,449,449,449
LDV13_002679,,amidohydrolase,1165,1236,1.07,2.0,180.0,2.0,152.0,,767,767,767
sapD,,peptide ABC transporter ATP-binding protein SapD,1165,1174,1.01,1.0,1027.0,1.0,622.0,,992,992,992
KQK08_001439,,L-idonate 5-dehydrogenase,1165,1165,1.0,4.0,384.0,4.0,359.0,,1031,1031,1031
IIF56_001351,,antimicrobial resistance protein Mig-14,1165,1165,1.0,6.0,124.0,6.0,251.0,,809,896,895
hilD,,transcriptional regulator HilD,1165,1165,1.0,6.0,220.0,6.0,155.0,,523,929,928
D1D75_21665,,hypothetical protein,1165,1165,1.0,3.0,391.0,3.0,108.0,,707,707,707
aphA,,class B acid phosphatase,1165,1165,1.0,4.0,73.0,4.0,76.0,,497,728,712
FYQ14_04805,,hypothetical protein,1165,1165,1.0,6.0,187.0,6.0,188.0,,707,809,808
cas6e,,type I-E CRISPR-associated protein Cas6/Cse3/CasE,1165,1165,1.0,6.0,283.0,6.0,92.0,,650,650,650
GSD62_002179,,MBL fold metallo-hydrolase,1165,1165,1.0,6.0,296.0,6.0,79.0,,737,797,796
D3387_19710,,LysR family transcriptional regulator,1165,1165,1.0,12.0,74.0,12.0,20.0,,221,221,221
IFF21_000583,,GhoT/OrtT family toxin,1165,1218,1.05,1.0,921.0,1.0,726.0,,73,263,186
DRI21_02480,,hypothetical protein,1165,1165,1.0,8.0,267.0,8.0,114.0,,335,335,335
IUZ70_003497,,fimbrial assembly chaperone,1165,1165,1.0,2.0,255.0,2.0,227.0,,758,758,758
H9B23_001641,,type II toxin-antitoxin system Phd/YefM family antitoxin,1165,1165,1.0,7.0,212.0,7.0,336.0,,221,227,225
LPF62_000809,,diguanylate cyclase,1165,1165,1.0,2.0,476.0,2.0,448.0,,311,311,311
FYF01_08810,,molecular chaperone,1165,1165,1.0,4.0,137.0,4.0,138.0,,440,653,652
CJH40_14110,,XapX domain-containing protein,1165,1165,1.0,5.0,333.0,5.0,368.0,,68,158,157
thiH,,2-iminoacetate synthase ThiH,1165,1165,1.0,16.0,33.0,16.0,18.0,,1133,1133,1133
CKP72_23125,,hypothetical protein,1165,1165,1.0,8.0,32.0,8.0,199.0,,281,386,385
GKU35_19370,,hypothetical protein,1165,1165,1.0,1.0,111.0,1.0,455.0,,476,476,476
F8X13_12525,,CaiF/GrlA family transcriptional regulator,1165,1165,1.0,3.0,6.0,3.0,459.0,,467,512,511
GU953_000658,,fumarate hydratase subunit beta,1165,1165,1.0,2.0,12.0,2.0,10.0,,393,548,544
C9A69_17995,,sodium:alanine symporter family protein,1165,1165,1.0,4.0,259.0,4.0,233.0,,189,1430,1428
GV897_17245,,PTS sugar transporter subunit IIA,1165,1165,1.0,4.0,328.0,4.0,302.0,,326,422,421
smvA,,methyl viologen efflux MFS transporter SmvA,1165,1165,1.0,1.0,898.0,1.0,749.0,,311,1487,1485
LD449_001874,,AraC family transcriptional regulator,1165,1165,1.0,3.0,152.0,3.0,390.0,,797,917,902
phnU,,2-aminoethylphosphonate ABC transporter permease subunit,1165,1165,1.0,2.0,349.0,2.0,321.0,,860,869,860
mdsA,,multidrug efflux RND transporter periplasmic adaptor subunit MdsA,1165,1165,1.0,2.0,272.0,2.0,244.0,,277,1226,1225
B7J18_04695,,LysR family transcriptional regulator,1165,1165,1.0,2.0,176.0,2.0,148.0,,450,947,946
FJH83_10040,,IclR family transcriptional regulator,1165,1165,1.0,7.0,186.0,7.0,56.0,,713,755,754
lpfA,,long polar fimbria major subunit LpfA,1165,1165,1.0,7.0,295.0,7.0,254.0,,524,536,534
C2O28_20800,,DUF3021 domain-containing protein,1165,1165,1.0,11.0,46.0,11.0,46.0,,389,389,389
rhlE,,ATP-dependent RNA helicase RhlE,1165,1165,1.0,3.0,379.0,3.0,96.0,,1207,1364,1363
GPC93_003669,,type II toxin-antitoxin system RelE/ParE family toxin,1165,1165,1.0,10.0,101.0,10.0,129.0,,311,311,311
tcyJ,,cystine ABC transporter substrate-binding protein,1165,1165,1.0,1.0,8.0,1.0,352.0,,380,800,799
tldD,,metalloprotease TldD,1165,1165,1.0,15.0,18.0,15.0,39.0,,710,1445,1444
creD,,cell envelope integrity protein CreD,1165,1165,1.0,4.0,275.0,4.0,249.0,,686,1349,1348
CHU46_06615,,HlyD family secretion protein,1165,1165,1.0,1.0,761.0,1.0,886.0,,860,896,891
C2W66_07725,,NlpC/P60 family protein,1165,1165,1.0,1.0,750.0,1.0,897.0,,821,854,849
HEE45_001271,,LysR family transcriptional regulator,1165,1165,1.0,1.0,746.0,1.0,901.0,,893,932,931
IFF49_002109,,DedA family protein,1165,1165,1.0,6.0,164.0,6.0,211.0,,413,425,424
GUE37_000364,,aminopeptidase,1165,1165,1.0,6.0,280.0,6.0,95.0,,951,1046,1045
barA,,two-component sensor histidine kinase BarA,1165,1165,1.0,6.0,305.0,6.0,70.0,,779,2756,2754
GXG75_00295,,glutathione S-transferase family protein,1165,1165,1.0,3.0,266.0,3.0,274.0,,947,986,985
ygiD,,"4,5-DOPA dioxygenase extradiol",1165,1165,1.0,3.0,179.0,3.0,363.0,,788,830,824
JM244_001114,,YgiQ family radical SAM protein,1165,1165,1.0,3.0,158.0,3.0,384.0,,2171,2219,2171
ripA,,acetyl-CoA hydrolase/transferase family protein,1165,1165,1.0,3.0,105.0,3.0,437.0,,1251,1325,1324
CFE80_23520,,DUF386 domain-containing protein,1165,1165,1.0,3.0,68.0,3.0,520.0,,473,494,473
CIX60_13115,,DUF2574 family protein,1165,1165,1.0,8.0,281.0,8.0,100.0,,158,281,280
wcaM,,colanic acid biosynthesis protein WcaM,1165,1165,1.0,8.0,225.0,8.0,338.0,,1403,1403,1403
GAT16_05890,,DUF1889 family protein,1165,1165,1.0,2.0,246.0,2.0,218.0,,323,323,323
bcsB,,cellulose biosynthesis cyclic di-GMP-binding regulatory protein BcsB,1165,1165,1.0,7.0,272.0,7.0,276.0,,2189,2300,2299
GUE44_002811,,hypothetical protein,1165,1165,1.0,7.0,219.0,7.0,329.0,,134,134,134
GP118_001873,,GntR family transcriptional regulator,1165,1165,1.0,7.0,32.0,7.0,103.0,,575,743,742
FXP87_15155,,HPr family phosphocarrier protein,1165,1165,1.0,7.0,38.0,7.0,109.0,,269,269,269
K6N20_001546,,hypothetical protein,1165,1165,1.0,7.0,43.0,7.0,114.0,,293,293,293
group_4949,araD,L-ribulose-5-phosphate 4-epimerase,1165,1165,1.0,7.0,336.0,7.0,214.0,,695,695,695
ilvI,,acetolactate synthase 3 large subunit,1165,1165,1.0,9.0,69.0,9.0,123.0,,1682,1751,1740
GXG54_14305,,family 43 glycosylhydrolase,1165,1165,1.0,9.0,103.0,9.0,157.0,,950,950,950
fepE,,LPS O-antigen length regulator,1165,1165,1.0,2.0,513.0,2.0,489.0,,1082,1136,1135
EAF62_15085,,TfoX/Sxy family DNA transformation protein,1165,1165,1.0,1.0,285.0,1.0,32.0,,563,605,604
ymdB,,O-acetyl-ADP-ribose deacetylase,1165,1165,1.0,1.0,366.0,1.0,113.0,,518,539,538
CHX90_19405,,TIGR02117 family protein,1165,1165,1.0,10.0,36.0,10.0,36.0,,659,662,661
pagD,,virulence protein PagD,1165,1165,1.0,1.0,557.0,1.0,302.0,,263,263,263
adiC,,arginine/agmatine antiporter,1165,1165,1.0,4.0,122.0,4.0,124.0,,1337,1337,1337
EX018_24215,,electron transfer flavoprotein subunit beta/FixA family protein,1165,1165,1.0,3.0,345.0,3.0,62.0,,706,854,853
rlmC,,23S rRNA (uracil(747)-C(5))-methyltransferase RlmC,1165,1165,1.0,3.0,317.0,3.0,33.0,,1102,1130,1129
GWD66_19295,,PTS sugar transporter subunit IIB,1165,1165,1.0,3.0,315.0,3.0,31.0,,263,320,319
EWW67_16545,,hypothetical protein,1165,1165,1.0,3.0,389.0,3.0,106.0,,242,560,531
FMP37_16005,,Bax inhibitor-1/YccA family protein,1165,1165,1.0,3.0,393.0,3.0,110.0,,644,704,703
C2937_15120,,hypothetical protein,1165,1165,1.0,5.0,301.0,5.0,336.0,,329,329,329
yihS,,sulfoquinovose isomerase,1165,1165,1.0,10.0,113.0,10.0,117.0,,1241,1241,1241
KWA37_003954,,DNA-binding transcriptional regulator,1165,1165,1.0,10.0,100.0,10.0,130.0,,254,290,282
FER41_04195,,hypothetical protein,1165,1165,1.0,1.0,14.0,1.0,358.0,,155,155,155
tar,,methyl-accepting chemotaxis protein II,1165,1165,1.0,1.0,39.0,1.0,383.0,,1128,1661,1660
IV612_000886,,LysR family transcriptional regulator,1165,1165,1.0,2.0,124.0,2.0,96.0,,914,971,914
LLA84_003181,,hypothetical protein,1165,1165,1.0,1.0,115.0,1.0,458.0,,119,164,163
stdB,,fimbrial outer membrane usher protein StdB,1165,1165,1.0,3.0,9.0,3.0,462.0,,1889,2489,2488
bcsA,,UDP-forming cellulose synthase catalytic subunit,1165,1165,1.0,7.0,273.0,7.0,275.0,,2621,2657,2624
CEQ63_14225,,ion channel protein,1165,1165,1.0,5.0,345.0,5.0,380.0,,846,1241,1234
GY351_003134,,fimbrial outer membrane usher protein,1165,1165,1.0,9.0,130.0,9.0,184.0,,2546,2552,2546
cstA,,carbon starvation protein CstA,1165,1165,1.0,2.0,524.0,2.0,500.0,,310,2120,2103
bcfC,,fimbrial biogenesis outer membrane usher protein,1165,1165,1.0,4.0,242.0,4.0,216.0,,2621,2621,2621
BWD03_02430,,helix-turn-helix domain-containing protein,1165,1165,1.0,4.0,245.0,4.0,219.0,,704,704,704
thrL,,thr operon leader peptide,1165,1165,1.0,4.0,264.0,4.0,238.0,,65,65,65
CQC83_06605,,SIS domain-containing protein,1165,1165,1.0,4.0,324.0,4.0,298.0,,1058,1061,1060
CJ683_03915,,PTS system mannose/fructose/N-acetylgalactosamine-transporter subunit IIB,1165,1165,1.0,4.0,327.0,4.0,301.0,,461,461,461
yjiA,,GTPase,1165,1165,1.0,4.0,334.0,4.0,308.0,,956,956,956
group_7221,mgtA,magnesium-translocating P-type ATPase,1165,1165,1.0,4.0,412.0,4.0,393.0,,2705,2708,2707
yjfP,,esterase,1165,1165,1.0,4.0,491.0,4.0,471.0,,749,749,749
C0672_06695,,glutathionylspermidine synthase family protein,1165,1165,1.0,4.0,495.0,4.0,475.0,,1163,1163,1163
dcuA,,anaerobic C4-dicarboxylate transporter,1165,1165,1.0,4.0,155.0,4.0,155.0,,1297,1301,1300
M8W61_000534,,OsmC family protein,1165,1165,1.0,1.0,887.0,1.0,760.0,,431,431,431
group_7297,glgX,glycogen debranching protein GlgX,1165,1165,1.0,1.0,882.0,1.0,765.0,,2075,2075,2075
GVB26_000321,,zinc-binding alcohol dehydrogenase family protein,1165,1165,1.0,1.0,865.0,1.0,782.0,,1025,1025,1025
C3001_06960,,linear amide C-N hydrolase,1165,1165,1.0,1.0,863.0,1.0,784.0,,1091,1091,1091
C2J04_01560,,hydrogenase small subunit,1165,1165,1.0,1.0,862.0,1.0,785.0,,1103,1103,1103
CIH76_00675,,YnfA family protein,1165,1165,1.0,1.0,825.0,1.0,822.0,,326,326,326
osmW,,osmoprotectant ABC transporter permease OsmW,1165,1165,1.0,1.0,813.0,1.0,834.0,,647,647,647
tqsA,,AI-2E family transporter,1165,1165,1.0,1.0,800.0,1.0,847.0,,1034,1034,1034
GS029_001406,,aldo/keto reductase family oxidoreductase,1165,1165,1.0,1.0,758.0,1.0,889.0,,896,896,896
purR,,HTH-type transcriptional repressor PurR,1165,1165,1.0,1.0,747.0,1.0,900.0,,1025,1025,1025
GVB95_001820,,Bcr/CflA family multidrug efflux MFS transporter,1165,1165,1.0,1.0,745.0,1.0,902.0,,1205,1205,1205
lpp,,major outer membrane lipoprotein,1165,1165,1.0,1.0,695.0,1.0,952.0,,236,236,236
KIK32_000848,,DUF1870 family protein,1165,1165,1.0,1.0,681.0,1.0,966.0,,359,359,359
CJ685_01580,,acyl-CoA dehydrogenase,1165,1165,1.0,1.0,675.0,1.0,972.0,,1151,1151,1151
fixB,,electron transfer flavoprotein subunit alpha,1165,1165,1.0,1.0,672.0,1.0,975.0,,935,935,935
gabD,,NADP-dependent succinate-semialdehyde dehydrogenase,1165,1165,1.0,6.0,133.0,6.0,242.0,,1442,1448,1447
E2T44_02670,,PLP-dependent aminotransferase family protein,1165,1165,1.0,6.0,147.0,6.0,228.0,,1334,1334,1334
proW,,glycine betaine/L-proline ABC transporter permease ProW,1165,1165,1.0,6.0,155.0,6.0,220.0,,1064,1064,1064
emrB,,multidrug efflux MFS transporter permease subunit EmrB,1165,1165,1.0,6.0,160.0,6.0,215.0,,1538,1538,1538
group_7362,flhA,formate hydrogenlyase transcriptional activator FlhA,1165,1165,1.0,6.0,203.0,6.0,171.0,,2072,2078,2077
sitC,,iron/manganese ABC transporter permease subunit SitC,1165,1165,1.0,6.0,207.0,6.0,167.0,,860,860,860
F0X87_07395,,multidrug efflux MFS transporter,1165,1165,1.0,6.0,255.0,6.0,120.0,,1208,1208,1208
CBT90_01120,,UbiD family decarboxylase,1165,1165,1.0,6.0,266.0,6.0,109.0,,1427,1427,1427
casB,,type I-E CRISPR-associated protein Cse2/CasB,1165,1165,1.0,6.0,286.0,6.0,89.0,,554,560,559
H6V55_002164,,glycerate kinase,1165,1165,1.0,6.0,306.0,6.0,69.0,,1142,1142,1142
sdaC,,HAAAP family serine/threonine permease,1165,1165,1.0,6.0,318.0,6.0,57.0,,1281,1289,1288
tas,,NADP(H)-dependent aldo-keto reductase,1165,1165,1.0,6.0,348.0,6.0,19.0,,1040,1040,1040
GY313_000115,,HAAAP family serine/threonine permease,1165,1165,1.0,3.0,272.0,3.0,268.0,,1331,1331,1331
GWE48_09960,,DUF805 domain-containing protein,1165,1165,1.0,3.0,267.0,3.0,273.0,,365,365,365
tsaD,,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,1165,1165,1.0,3.0,200.0,3.0,340.0,,1013,1013,1013
GXG54_09390,,TRAP transporter large permease subunit,1165,1165,1.0,3.0,161.0,3.0,381.0,,1295,1307,1306
C2970_12420,,HIT family protein,1165,1165,1.0,3.0,156.0,3.0,386.0,,455,455,455
CFE79_00885,,NAD-dependent phenylacetaldehyde dehydrogenase,1165,1165,1.0,3.0,116.0,3.0,426.0,,1484,1484,1484
FE071_08665,,anaerobic sulfatase maturase,1165,1165,1.0,3.0,110.0,3.0,432.0,,1184,1184,1184
CPK39_06290,,DUF1202 domain-containing protein,1165,1165,1.0,3.0,93.0,3.0,449.0,,1007,1007,1007
group_7436,mscS,small-conductance mechanosensitive channel MscS,1165,1165,1.0,3.0,54.0,3.0,506.0,,860,860,860
CUW18_14075,,oxidative stress defense protein,1165,1165,1.0,3.0,52.0,3.0,504.0,,746,746,746
baeS,,two-component system sensor histidine kinase BaeS,1165,1165,1.0,8.0,259.0,8.0,122.0,,1403,1403,1403
FR098_07795,,MFS transporter,1165,1165,1.0,8.0,258.0,8.0,123.0,,1412,1412,1412
yegD,,molecular chaperone,1165,1165,1.0,8.0,253.0,8.0,128.0,,1352,1352,1352
pduW,,propanediol utilization propionate kinase PduW,1165,1165,1.0,8.0,180.0,8.0,292.0,,1214,1214,1214
A6S74_10470,,DUF1493 family protein,1165,1165,1.0,8.0,134.0,8.0,246.0,,326,326,326
CE635_11715,,hypothetical protein,1165,1165,1.0,8.0,129.0,8.0,242.0,,1730,1730,1730
umuD,,translesion error-prone DNA polymerase V autoproteolytic subunit,1165,1165,1.0,8.0,64.0,8.0,231.0,,419,419,419
C3008_05045,,SmdB family multidrug efflux ABC transporter permease/ATP-binding protein,1165,1165,1.0,2.0,384.0,2.0,356.0,,1781,1781,1781
FER41_08335,,SgrR family transcriptional regulator,1165,1165,1.0,2.0,379.0,2.0,351.0,,1667,1700,1699
GSD82_001000,,multidrug efflux MFS transporter,1165,1165,1.0,2.0,303.0,2.0,275.0,,1211,1211,1211
H0D17_001249,,cytoplasmic protein,1165,1165,1.0,2.0,253.0,2.0,225.0,,272,272,272
rlmA,,23S rRNA (guanine(745)-N(1))-methyltransferase,1165,1165,1.0,1.0,134.0,1.0,477.0,,809,809,809
bcsQ,,cellulose biosynthesis protein BcsQ,1165,1165,1.0,7.0,274.0,7.0,274.0,,752,752,752
GSD11_001886,,type II toxin-antitoxin system death-on-curing family toxin,1165,1165,1.0,7.0,211.0,7.0,337.0,,368,368,368
JNE97_003176,,dihydrodipicolinate synthase family protein,1165,1165,1.0,7.0,185.0,7.0,55.0,,905,905,905
gntT,,gluconate transporter,1165,1165,1.0,7.0,166.0,7.0,36.0,,1316,1316,1316
hofQ,,DNA uptake porin HofQ,1165,1165,1.0,7.0,141.0,7.0,11.0,,1220,1238,1237
GPA53_002760,,PTS sugar transporter subunit IIB,1165,1165,1.0,7.0,34.0,7.0,105.0,,287,287,287
GXG37_14465,,carbohydrate kinase,1165,1165,1.0,7.0,36.0,7.0,107.0,,1484,1484,1484
INU70_001215,,class II aldolase,1165,1165,1.0,7.0,37.0,7.0,108.0,,860,860,860
yiaK,,3-dehydro-L-gulonate 2-dehydrogenase,1165,1165,1.0,7.0,326.0,7.0,223.0,,998,998,998
GQG20_002407,,GNAT family N-acetyltransferase,1165,1165,1.0,7.0,306.0,7.0,243.0,,485,485,485
ppdD,,prepilin peptidase-dependent pilin,1165,1165,1.0,9.0,98.0,9.0,152.0,,437,437,437
FPB87_10885,,MFS transporter,1165,1165,1.0,9.0,104.0,9.0,158.0,,1406,1406,1406
IFF21_002733,,PTS sugar transporter subunit IIA,1165,1165,1.0,9.0,133.0,9.0,187.0,,440,440,440
folK,,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase,1165,1165,1.0,9.0,138.0,9.0,192.0,,479,479,479
sfsA,,DNA/RNA nuclease SfsA,1165,1165,1.0,9.0,142.0,9.0,196.0,,704,704,704
C8454_08665,,porin,1165,1165,1.0,2.0,435.0,2.0,407.0,,1133,1133,1133
entE,,"(2,3-dihydroxybenzoyl)adenylate synthase",1165,1165,1.0,2.0,520.0,2.0,496.0,,1610,1610,1610
fhuE,,ferric-rhodotorulic acid/ferric-coprogen receptor FhuE,1165,1165,1.0,1.0,429.0,1.0,172.0,,2174,2174,2174
thiK,,thiamine kinase,1165,1165,1.0,1.0,433.0,1.0,176.0,,824,824,824
HDJ19_000739,,deaminated glutathione amidase,1165,1165,1.0,2.0,557.0,2.0,532.0,,788,788,788
citT,,citrate/succinate antiporter CitT,1165,1165,1.0,2.0,542.0,2.0,518.0,,1440,1463,1462
pncA,,bifunctional nicotinamidase/pyrazinamidase,1165,1165,1.0,1.0,608.0,1.0,1039.0,,656,656,656
aadA,,cryptic aminoglycoside nucleotidyltransferase ANT(3'')/ANT(9),1165,1165,1.0,1.0,574.0,1.0,319.0,,788,788,788
E2749_00130,,Hsp20 family protein,1165,1165,1.0,1.0,562.0,1.0,307.0,,467,470,469
GFD38_19645,,LysR family transcriptional regulator,1165,1165,1.0,3.0,340.0,3.0,56.0,,890,890,890
BIW28_15295,,GntP family permease,1165,1165,1.0,3.0,339.0,3.0,55.0,,425,425,425
NR852_003150,,HAD family hydrolase,1165,1165,1.0,3.0,332.0,3.0,48.0,,815,815,815
GUE18_003889,,hypothetical protein,1165,1165,1.0,3.0,328.0,3.0,44.0,,377,377,377
potI,,putrescine ABC transporter permease PotI,1165,1165,1.0,3.0,319.0,3.0,35.0,,845,845,845
group_7865,hcp,hydroxylamine reductase,1165,1165,1.0,3.0,298.0,3.0,14.0,,1652,1652,1652
GUE38_003657,,ATP-dependent endonuclease,1165,1165,1.0,3.0,295.0,3.0,11.0,,1658,1658,1658
C2N30_20115,,DUF535 domain-containing protein,1165,1165,1.0,3.0,294.0,3.0,10.0,,950,968,953
cspD,,cold shock-like protein CspD,1165,1165,1.0,3.0,290.0,3.0,6.0,,221,221,221
pgtP,,phosphoglycerate transporter PgtP,1165,1165,1.0,5.0,352.0,5.0,387.0,,1391,1391,1391
glnP,,glutamine ABC transporter permease GlnP,1165,1165,1.0,3.0,371.0,3.0,88.0,,659,659,659
dinG,,ATP-dependent DNA helicase DinG,1165,1165,1.0,3.0,378.0,3.0,95.0,,2144,2144,2144
cecR,,transcriptional regulator,1165,1165,1.0,3.0,380.0,3.0,97.0,,674,674,674
BFE53_17490,,ABC transporter permease,1165,1165,1.0,3.0,383.0,3.0,100.0,,1130,1130,1130
EJG78_16460,,ABC transporter permease,1165,1165,1.0,3.0,384.0,3.0,101.0,,1106,1106,1106
GVB30_003995,,hypothetical protein,1165,1165,1.0,3.0,385.0,3.0,102.0,,410,410,410
GWE48_19255,,endonuclease/exonuclease/phosphatase family protein,1165,1165,1.0,3.0,386.0,3.0,103.0,,758,758,758
clsB,,cardiolipin synthase ClsB,1165,1165,1.0,3.0,387.0,3.0,104.0,,1241,1241,1241
CRZ60_22850,,UPF0104 family protein,1165,1165,1.0,3.0,388.0,3.0,105.0,,962,962,962
C3Z98_14385,,bile acid:sodium symporter,1165,1165,1.0,5.0,328.0,5.0,363.0,,998,998,998
mntH,,Mn(2+) uptake NRAMP transporter MntH,1165,1165,1.0,5.0,341.0,5.0,376.0,,1241,1241,1241
GQH05_000066,,DUF2502 domain-containing protein,1165,1165,1.0,5.0,342.0,5.0,377.0,,326,326,326
glk,,glucokinase,1165,1165,1.0,5.0,346.0,5.0,381.0,,965,965,965
rhmD,,L-rhamnonate dehydratase,1165,1165,1.0,5.0,44.0,5.0,44.0,,1205,1205,1205
GSC02_003136,,MFS transporter,1165,1165,1.0,5.0,43.0,5.0,43.0,,1289,1289,1289
KZC66_003746,,hypothetical protein,1165,1165,1.0,10.0,134.0,10.0,96.0,,224,224,224
CEQ67_16675,,type II toxin-antitoxin system HigA family antitoxin,1165,1165,1.0,10.0,104.0,10.0,126.0,,446,446,446
CFE80_19395,,AzlD domain-containing protein,1165,1165,1.0,10.0,93.0,10.0,137.0,,323,323,323
dprA,,DNA-protecting protein DprA,1165,1165,1.0,12.0,17.0,12.0,77.0,,1124,1124,1124
csiE,,stationary phase inducible protein CsiE,1165,1165,1.0,5.0,193.0,5.0,229.0,,1274,1277,1276
asrA,,anaerobic sulfite reductase subunit A,1165,1165,1.0,5.0,198.0,5.0,234.0,,1031,1043,1042
tcyL,,cystine ABC transporter permease,1165,1165,1.0,1.0,10.0,1.0,354.0,,668,668,668
uvrY,,UvrY/SirA/GacA family response regulator transcription factor,1165,1165,1.0,1.0,15.0,1.0,359.0,,656,656,656
pepE,,dipeptidase PepE,1165,1165,1.0,4.0,10.0,4.0,14.0,,689,689,689
hupA,,DNA-binding protein HU-alpha,1165,1165,1.0,16.0,22.0,16.0,7.0,,272,272,272
BVD70_15850,,carbon-nitrogen hydrolase family protein,1165,1165,1.0,1.0,83.0,1.0,427.0,,656,656,656
GXS14_003067,,multidrug ABC transporter permease/ATP-binding protein,1165,1165,1.0,5.0,13.0,5.0,15.0,,1643,1643,1643
proQ,,RNA chaperone ProQ,1165,1165,1.0,1.0,123.0,1.0,466.0,,686,686,686
ldcC,,lysine decarboxylase LdcC,1165,1165,1.0,9.0,183.0,9.0,15.0,,2111,2141,2140
GPD02_003188,,D-threonate kinase,1164,1164,1.0,9.0,117.0,9.0,171.0,,1271,1277,1271
CEQ68_20980,,alpha-2-macroglobulin family protein,1164,1164,1.0,5.0,218.0,5.0,254.0,,4927,4940,4934
fghA,,S-formylglutathione hydrolase,1164,1164,1.0,8.0,325.0,8.0,56.0,,857,860,857
GY309_000664,,hypothetical protein,1164,1185,1.02,1.0,1002.0,1.0,647.0,,203,845,841
pdeR,,cyclic di-GMP phosphodiesterase,1164,1166,1.01,1.0,1037.0,1.0,612.0,,1982,1982,1982
tehA,,dicarboxylate transporter/tellurite-resistance protein TehA,1164,1335,1.15,1.0,935.0,1.0,712.0,,1013,1013,1013
crl,,sigma factor-binding protein Crl,1164,1386,1.2,2.0,192.0,2.0,163.0,,401,401,401
CBH71_21450,,TolC family outer membrane protein,1164,1164,1.0,6.0,32.0,6.0,295.0,,1409,1409,1409
CEQ80_00890,,TetR/AcrR family transcriptional regulator,1164,1183,1.02,1.0,1006.0,1.0,643.0,,590,590,590
C3T90_06780,,isochorismatase family protein,1164,1171,1.01,7.0,57.0,7.0,128.0,,680,680,680
GXL68_04145,,virulence factor SrfB,1164,1204,1.04,1.0,919.0,1.0,728.0,,2981,2981,2981
dgoR,,FadR family transcriptional regulator,1164,1165,1.01,14.0,63.0,14.0,70.0,,689,689,689
gltS,,sodium/glutamate symporter,1164,1262,1.09,7.0,72.0,7.0,143.0,,1205,1205,1205
pagC,,virulence membrane protein PagC,1164,1164,1.0,1.0,558.0,1.0,303.0,,470,557,556
mpaA,,murein tripeptide amidase MpaA,1164,1181,1.02,1.0,1012.0,1.0,637.0,,728,728,728
torR,,two-component system response regulator TorR,1164,1164,1.0,14.0,73.0,14.0,63.0,,692,692,692
C5V84_02280,,DUF333 domain-containing protein,1164,1197,1.03,1.0,978.0,1.0,671.0,,266,266,266
A6S74_07215,,carboxylesterase/lipase family protein,1164,1294,1.12,1.0,951.0,1.0,698.0,,1508,1508,1508
IQ307_003867,,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,1164,1164,1.0,14.0,65.0,14.0,68.0,,617,617,617
uspE,,universal stress protein UspE,1164,1187,1.02,1.0,994.0,1.0,655.0,,947,947,947
